# Taken from Z:\JPDugal\LoggingService_processing on July 31 2019
# Display filter used:
# (
#    (
# 		   (ip.src==10.12.10.75 and ip.dst==10.12.10.68)
# 		or (ip.src==10.12.10.75 and ip.dst==10.12.10.84)
# 		or (ip.src==10.12.10.68 and ip.dst==10.12.10.84)
# 		or (ip.src==10.12.10.84 and ip.dst==10.12.10.75)
# 	) and (http contains "StartCall" or http ~ "<eventType>.*endMedia.*</eventType>" or http ~ "<eventType>.*CDRType1.*</eventType>" or http ~ "<eventType>.*EndCall.*</eventType>")
# )

36.7	App2A	Admin2A	StartCall
37.4	Admin2A	MIS2A	StartCall
43.4	App2A	Admin2A	EndMedia
45.2	Admin2A	MIS2A	EndMedia
78.145	App2A	Admin2A	EndCall
78.147	App2A	Admin2A	EndMedia
78.18	App2A	Admin2A	EndMedia
78.21	App2A	Admin2A	EndMedia
78.221	App2A	Admin2A	EndMedia
78.222	App2A	Admin2A	CDRtype1
79.09	Admin2A	MIS2A	EndCall
80.36	Admin2A	MIS2A	EndMedia
81.22	Admin2A	MIS2A	EndMedia
82.51	Admin2A	MIS2A	EndMedia
84.07	Admin2A	MIS2A	EndMedia
85.075	Admin2A	MIS2A	CDRtype1
